Rank,Symbol,Description,NIFTY50,NIFTYNEXT50,NIFTY100,NIFTY200,NIFTY500,NIFTYTOTALMARKET,NIFTYMIDCAP50,NIFTYMIDCAP150,NIFTYMIDCAP100,NIFTYSMALLCAP250,NIFTYSMALLCAP50,NIFTYSMALLCAP100,NIFTYMICROCAP250,SectorialIndex
1,RELIANCE,Reliance Industries Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy, NIFTY Commodities, NIFTY EV & New Age Automotive, NIFTY India Manufacturing, NIFTY Infrastructure"
2,HDFCBANK,HDFC Bank Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Financial Services, NIFTY Private Bank"
3,TCS,Tata Consultancy Services Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY IT
4,AIRTELPP.E1,Bharti Airtel Limited TEMP,No,No,No,No,No,No,No,No,No,No,No,No,No,
5,BHARTIARTL,Bharti Airtel Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Infrastructure
6,ICICIBANK,ICICI Bank Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Financial Services, NIFTY Private Bank"
7,SBIN,State Bank of India,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Financial Services, NIFTY PSU Bank"
8,HINDUNILVR,Hindustan Unilever Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY FMCG
9,INFY,Infosys Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY IT
10,BAJFINANCE,Bajaj Finance Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Financial Services
11,LICI,Life Insurance Corp. of India,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,
12,ITC,ITC Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY FMCG
13,LT,Larsen & Toubro Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Infrastructure
14,MARUTI,Maruti Suzuki India Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Auto, NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
15,M&M,Mahindra & Mahindra Ltd.,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Auto, NIFTY EV & New Age Automotive, NIFTY India Manufacturing"
16,HCLTECH,HCL Technologies Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY IT
17,KOTAKBANK,Kotak Mahindra Bank Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Financial Services, NIFTY Private Bank"
18,SUNPHARMA,Sun Pharmaceutical Industries Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Healthcare, NIFTY Pharma, NIFTY India Manufacturing"
19,ULTRACEMCO,UltraTech Cement Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Commodities, NIFTY Infrastructure"
20,TITAN,Titan Company Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Consumer Durables
21,AXISBANK,Axis Bank Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Bank, NIFTY Financial Services, NIFTY Private Bank"
22,NTPC,NTPC Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Energy, NIFTY Commodities, NIFTY India Railways PSU, NIFTY Infrastructure"
23,BAJAJFINSV,Bajaj Finserv Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Financial Services
24,ETERNAL,Eternal Limited,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,
25,DMART,Avenue Supermarts Ltd.,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,
26,ONGC,Oil & Natural Gas Corp. Ltd.,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY Oil & Gas, NIFTY Energy, NIFTY Commodities, NIFTY India Railways PSU, NIFTY Infrastructure"
27,HAL,Hindustan Aeronautics Limited,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"NIFTY India Defence, NIFTY India Manufacturing"
28,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NIFTY Infrastructure
